// Başarımlar için yeni lokalizasyon anahtarları

// Başarım detay sayfası
// Uzman seviye başarımları
"achievement.expert_1.name" : "Uzman Meydan Okuma",
"achievement.expert_1.description" : "İlk Uzman Sudoku'yu tamamla",
"achievement.expert_5.name" : "Gerçek Sudoku Ustası",
"achievement.expert_5.description" : "5 Uzman Sudoku tamamla",

// Devamlılık başarımları
"achievement.streak_3.name" : "Devam Eden Merak",
"achievement.streak_3.description" : "3 gün üst üste Sudoku oyna",
"achievement.streak_7.name" : "Haftalık Rutin",
"achievement.streak_7.description" : "7 gün üst üste Sudoku oyna",
"achievement.streak_30.name" : "Sudoku Tutkunu",
"achievement.streak_30.description" : "30 gün üst üste Sudoku oyna",

// Zaman başarımları
"achievement.time_easy_3.name" : "Hızlı Kolay",
"achievement.time_easy_3.description" : "Kolay Sudoku'yu 3 dakikadan kısa sürede tamamla",
"achievement.time_medium_5.name" : "Hızlı Orta",
"achievement.time_medium_5.description" : "Orta Sudoku'yu 5 dakikadan kısa sürede tamamla",
"achievement.time_hard_10.name" : "Hızlı Zor",
"achievement.time_hard_10.description" : "Zor Sudoku'yu 10 dakikadan kısa sürede tamamla",

// Özel başarımlar
"achievement.no_errors.name" : "Kusursuz",
"achievement.no_errors.description" : "Hiç hata yapmadan bir Sudoku tamamla",
"achievement.no_hints.name" : "Yardımsız",
"achievement.no_hints.description" : "Hiç ipucu kullanmadan bir Sudoku tamamla",
"achievement.all_difficulties.name" : "Tam Set",
"achievement.all_difficulties.description" : "Her zorluk seviyesinden en az bir Sudoku tamamla",
"achievement.daily_5.name" : "Günlük Hedef",
"achievement.daily_5.description" : "Bir günde 5 Sudoku tamamla",
"achievement.night_owl.name" : "Gece Kuşu",
"achievement.night_owl.description" : "Gece saat 22:00 ile 06:00 arasında 10 Sudoku tamamla",
"achievement.total_100.name" : "Yüzler Kulübü",
"achievement.total_100.description" : "Toplam 100 Sudoku tamamla" 
